LOGICALREF,ITEMREF,MAINCODE,BARCODE,UNITLINEREF,SPECODE,SPECODE2,SPECODE3,SPECODE4,SPECODE5,SASIA,INFO,INFO2,PARENT,name,DATE_FILLIMI,DATA_FUNDIT,CMIMI_SH,NJESIA,VAT
359,751,N352-1L003A03539,3.9064E+12,23,HITSHOES,4SEASONS,WOMEN,ARTSY,NALLAN,6,https://www.nallan.eu/index.php?route=product/product&path=269&product_id=450~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_1.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_2.jpg~Papuçe që ju bëjnë të ndiheni mirë.~Në Trend Femra~Papuçe Femra~39~33,https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_3.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_4.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_5.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_6.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_7.jpg,,Papuçe Anatomike per Femra-ARTSY-Art35,00:00.0,00:00.0,16.5,PALË,18
360,752,N352-1L003A03540,3.9064E+12,23,HITSHOES,4SEASONS,WOMEN,ARTSY,NALLAN,0,https://www.nallan.eu/index.php?route=product/product&path=269&product_id=450~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_1.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_2.jpg~Papuçe që ju bëjnë të ndiheni mirë.~Në Trend Femra~Papuçe Femra~40~33,https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_3.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_4.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_5.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_6.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_7.jpg,,Papuçe Anatomike per Femra-ARTSY-Art35,00:00.0,00:00.0,16.5,PALË,18
361,753,N352-1L003A03541,3.9064E+12,23,HITSHOES,4SEASONS,WOMEN,ARTSY,NALLAN,2,https://www.nallan.eu/index.php?route=product/product&path=269&product_id=450~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_1.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_2.jpg~Papuçe që ju bëjnë të ndiheni mirë.~Në Trend Femra~Papuçe Femra~41~33,https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_3.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_4.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_5.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_6.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_7.jpg,,Papuçe Anatomike per Femra-ARTSY-Art35,00:00.0,00:00.0,16.5,PALË,18
362,754,N352-1L003A03542,3.9064E+12,23,HITSHOES,4SEASONS,WOMEN,ARTSY,NALLAN,0,https://www.nallan.eu/index.php?route=product/product&path=269&product_id=450~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_1.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_2.jpg~Papuçe që ju bëjnë të ndiheni mirë.~Në Trend Femra~Papuçe Femra~42~33,https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_3.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_4.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_5.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_6.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_7.jpg,P,Papuçe Anatomike per Femra-ARTSY-Art35,00:00.0,00:00.0,16.5,PALË,18
370,31,N352-1L003A03636,3.9064E+12,23,HITSHOES,4SEASONS,WOMEN,ARTSY,NALLAN,0,https://www.nallan.eu/index.php?route=product/product&path=269&product_id=451~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_1.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_2.jpg~Papuçe që ju bëjnë të ndiheni mirë.~Në Trend Femra~Papuçe Femra~36~33,https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_3.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_4.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_5.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_6.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_7.jpg,,Papuçe Anatomike per Femra-ARTSY-Art36,00:00.0,00:00.0,16.5,PALË,18
763,32,N352-1L003A03637,3.9064E+12,23,HITSHOES,4SEASONS,WOMEN,ARTSY,NALLAN,9,https://www.nallan.eu/index.php?route=product/product&path=269&product_id=451~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_1.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_2.jpg~Papuçe që ju bëjnë të ndiheni mirë.~Në Trend Femra~Papuçe Femra~37~33,https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_3.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_4.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_5.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_6.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_7.jpg,,Papuçe Anatomike per Femra-ARTSY-Art36,00:00.0,00:00.0,16.5,PALË,18
372,33,N352-1L003A03638,3.9064E+12,23,HITSHOES,4SEASONS,WOMEN,ARTSY,NALLAN,1,https://www.nallan.eu/index.php?route=product/product&path=269&product_id=451~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_1.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_2.jpg~Papuçe që ju bëjnë të ndiheni mirë.~Në Trend Femra~Papuçe Femra~38~33,https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_3.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_4.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_5.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_6.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_7.jpg,,Papuçe Anatomike per Femra-ARTSY-Art36,00:00.0,00:00.0,16.5,PALË,18
373,34,N352-1L003A03639,3.9064E+12,23,HITSHOES,4SEASONS,WOMEN,ARTSY,NALLAN,12,https://www.nallan.eu/index.php?route=product/product&path=269&product_id=451~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_1.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_2.jpg~Papuçe që ju bëjnë të ndiheni mirë.~Në Trend Femra~Papuçe Femra~39~33,https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_3.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_4.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_5.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_6.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_7.jpg,,Papuçe Anatomike per Femra-ARTSY-Art36,00:00.0,00:00.0,16.5,PALË,18
374,35,N352-1L003A03640,3.9064E+12,23,HITSHOES,4SEASONS,WOMEN,ARTSY,NALLAN,8,https://www.nallan.eu/index.php?route=product/product&path=269&product_id=451~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_1.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_2.jpg~Papuçe që ju bëjnë të ndiheni mirë.~Në Trend Femra~Papuçe Femra~40~33,https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_3.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_4.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_5.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_6.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_7.jpg,,Papuçe Anatomike per Femra-ARTSY-Art36,00:00.0,00:00.0,16.5,PALË,18
375,36,N352-1L003A03641,3.9064E+12,23,HITSHOES,4SEASONS,WOMEN,ARTSY,NALLAN,0,https://www.nallan.eu/index.php?route=product/product&path=269&product_id=451~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_1.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_2.jpg~Papuçe që ju bëjnë të ndiheni mirë.~Në Trend Femra~Papuçe Femra~41~33,https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_3.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_4.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_5.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_6.jpg~https://nallan.eu/products/ARTSY/04.%20N352-1L003A036/N352_1L003A036_7.jpg,,Papuçe Anatomike per Femra-ARTSY-Art36,00:00.0,00:00.0,16.5,PALË,18
